iter	RMSE
0	566983.563
1	549893.4624
2	534392.4916
3	519306.6229
4	506207.4509
5	493184.7654
6	480739.4651
7	469865.4204
8	459290.1967
9	448599.569
10	438536.6353
11	428882.0508
12	420199.7664
13	411788.8478
14	402908.7629
15	395195.8853
16	386924.2401
17	379758.9835
18	373265.7326
19	367553.7734
20	361850.4066
21	355143.653
22	350026.9236
23	345476.2528
24	339698.6187
25	335740.37
26	330653.0436
27	325619.4302
28	321412.9899
29	317291.5658
30	313491.4309
31	310435.2202
32	306538.23
33	303209.4497
34	300552.7465
35	297559.1018
36	295271.1069
37	292942.7302
38	290736.4418
39	288167.8263
40	285939.4173
41	284063.0249
42	281753.5607
43	279751.8879
44	278065.9746
45	276149.8825
46	274395.0339
47	272969.4896
48	271101.6126
49	269954.6377
50	268375.5634
51	267002.6765
52	265714.2072
53	264224.6398
54	263055.6301
55	261595.3489
56	260596.1623
57	259528.8501
58	258398.2214
59	257270.3639
60	256074.1025
61	255069.613
62	253830.7602
63	253114.506
64	252323.1132
65	251531.1738
66	250563.5316
67	249844.8477
68	248943.8916
69	247894.3302
70	246975.7672
71	246000.1876
72	245211.7421
73	244245.073
74	243414.9213
75	242502.5436
76	241641.0199
77	241103.1035
78	240281.0611
79	239632.8855
80	238880.6122
81	238212.6373
82	237398.4261
83	236910.8924
84	236128.9899
85	235544.9953
86	235069.6561
87	234542.6003
88	234159.01
89	233578.8223
90	233078.4967
91	232634.0312
92	231957.0679
93	231672.2607
94	230942.2361
95	230470.6993
96	229987.6479
97	229583.1231
98	229276.6702
99	228889.9608
100	228464.632
101	227993.4038
102	227653.9435
103	227447.4922
104	227161.9565
105	226657.9416
106	226115.473
107	225625.6778
108	225093.3015
109	224791.5126
110	224477.5988
111	223971.4712
112	223729.6497
113	223580.6717
114	223410.7375
115	222990.0536
116	222615.803
117	222148.7467
118	221710.3563
119	221385.2501
120	221140.3754
121	220760.247
122	220338.1117
123	220183.5021
124	219877.241
125	219431.8575
126	219020.7728
127	218816.7096
128	218478.7418
129	217924.5939
130	217578.8931
131	216969.7985
132	216605.805
133	216506.9398
134	216244.8502
135	216150.1976
136	216068.6375
137	215902.2887
138	215525.0712
139	215027.2726
140	214644.2502
141	214467.4364
142	214326.2366
143	214197.6299
144	214005.0695
145	213554.0625
146	213486.7687
147	213224.6728
148	213094.0676
