iter	Passed	Remaining
0	126	62888
1	130	32481
2	134	22281
3	138	17229
4	143	14201
5	147	12177
6	152	10731
7	156	9627
8	160	8781
9	165	8095
10	169	7540
11	173	7049
12	176	6623
13	180	6271
14	184	5965
15	187	5684
16	191	5433
17	195	5224
18	198	5032
19	202	4855
20	205	4691
21	209	4561
22	213	4428
23	216	4303
24	220	4193
25	224	4088
26	227	3990
27	231	3897
28	234	3807
29	237	3727
30	241	3648
31	244	3577
32	248	3511
33	251	3446
34	254	3386
35	258	3329
36	261	3275
37	265	3223
38	268	3174
39	272	3128
40	275	3084
41	278	3041
42	282	2999
43	285	2959
44	288	2921
45	292	2887
46	295	2850
47	298	2815
48	302	2782
49	305	2752
50	309	2721
51	312	2692
52	315	2663
53	319	2639
54	322	2612
55	326	2585
56	329	2559
57	332	2536
58	336	2512
59	339	2489
60	342	2467
61	346	2445
62	349	2424
63	352	2403
64	356	2382
65	359	2363
66	363	2347
67	366	2330
68	371	2317
69	374	2301
70	378	2283
71	383	2279
72	389	2278
73	394	2271
74	401	2276
75	410	2290
76	417	2291
77	422	2288
78	427	2279
79	432	2271
80	437	2262
81	442	2253
82	447	2246
83	452	2241
84	457	2235
85	463	2229
86	468	2222
87	473	2215
88	478	2208
89	483	2200
90	488	2195
91	493	2186
92	497	2178
93	503	2173
94	508	2168
95	513	2162
96	518	2154
97	523	2147
98	528	2139
99	532	2131
100	537	2123
101	542	2117
102	547	2111
103	551	2100
104	556	2092
105	563	2095
106	568	2088
107	574	2086
108	579	2079
109	585	2075
110	590	2067
111	595	2061
112	599	2052
113	603	2044
114	608	2037
115	613	2031
116	618	2023
117	622	2016
118	627	2008
119	633	2007
120	639	2001
121	643	1994
122	648	1986
123	653	1981
124	657	1973
125	661	1963
126	665	1953
127	668	1943
128	672	1934
129	676	1924
130	679	1914
131	683	1906
132	687	1896
133	691	1887
134	694	1877
135	696	1864
136	699	1853
137	703	1844
138	706	1835
139	710	1826
140	714	1817
141	717	1808
142	720	1798
143	723	1789
144	727	1781
145	731	1773
146	734	1763
147	737	1754
148	740	1745
149	744	1736
150	747	1728
151	751	1721
152	755	1712
153	758	1704
154	762	1696
155	765	1688
156	769	1681
157	773	1674
158	777	1667
159	781	1659
160	784	1652
161	789	1646
162	793	1639
163	796	1632
164	800	1625
165	805	1620
166	810	1616
167	815	1611
168	820	1607
169	826	1604
170	831	1599
171	836	1594
172	841	1589
173	846	1585
174	850	1580
175	855	1575
176	861	1571
177	865	1566
178	870	1560
179	875	1556
180	880	1551
181	885	1546
182	890	1541
183	895	1538
184	901	1534
185	906	1530
186	911	1524
187	915	1520
188	921	1515
189	925	1510
190	930	1505
191	936	1502
192	942	1499
193	947	1495
194	953	1490
195	958	1486
196	964	1483
197	971	1481
198	976	1477
199	981	1472
200	986	1467
201	991	1462
202	996	1458
203	1001	1453
204	1006	1448
205	1010	1442
206	1016	1438
207	1020	1432
208	1025	1428
209	1032	1426
210	1039	1423
211	1048	1423
212	1054	1421
213	1059	1416
214	1065	1411
215	1071	1408
216	1079	1407
217	1085	1403
218	1091	1399
219	1097	1396
220	1104	1393
221	1109	1389
222	1116	1387
223	1123	1383
224	1131	1383
225	1137	1379
226	1143	1375
227	1148	1370
228	1156	1368
229	1161	1363
230	1169	1362
231	1177	1360
232	1185	1358
233	1192	1355
234	1198	1351
235	1213	1357
236	1224	1359
237	1236	1360
238	1242	1356
239	1249	1353
240	1267	1362
241	1273	1358
242	1286	1360
243	1294	1358
244	1313	1367
245	1336	1380
246	1343	1376
247	1350	1372
248	1357	1368
249	1383	1383
250	1391	1380
251	1405	1383
252	1420	1386
253	1431	1386
254	1471	1413
255	1490	1420
256	1500	1418
257	1507	1413
258	1519	1414
259	1526	1408
260	1537	1408
261	1550	1408
262	1561	1406
263	1567	1401
264	1574	1396
265	1593	1401
266	1603	1399
267	1616	1399
268	1622	1393
269	1629	1388
270	1636	1383
271	1642	1377
272	1648	1370
273	1655	1365
